img_path,gall_mm2,prop_herb,leaf_area_mm2,month,leaf,tree,exp.round
images/segmented_processed/2022_May_isolate/tree41_20221517_leaf3.png,0,0.004213479,2218.509945,May,3,41,1
images/segmented_processed/2022_May_isolate/tree42_20220517_leaf1.png,14.42289887,8.09E-05,1948.84403,May,1,42,1
images/segmented_processed/2022_May_isolate/tree42_20220517_leaf2.png,4.455184714,2.50E-05,1936.931877,May,2,42,1
images/segmented_processed/2022_May_isolate/tree42_20220517_leaf3.png,6.444426481,0.002863302,3672.717361,May,3,42,1
images/segmented_processed/2022_May_isolate/tree43_20220516_leaf1.png,0,1.87E-05,2970.023979,May,1,43,1
images/segmented_processed/2022_May_isolate/tree43_20220516_leaf2.png,0,0.002968187,3167.994754,May,2,43,1
images/segmented_processed/2022_May_isolate/tree44_20220517_leaf2.png,0,2.33E-04,1805.575612,May,2,44,1
images/segmented_processed/2022_May_isolate/tree44_20220517_leaf3.png,0,5.91E-04,2030.177137,May,3,44,1
images/segmented_processed/2022_May_isolate/tree45_20220516_leaf1.png,0,0.226437987,2487.290558,May,1,45,1
images/segmented_processed/2022_May_isolate/tree45_20220516_leaf2.png,0,0.183032266,2709.985278,May,2,45,1
images/segmented_processed/2022_May_isolate/tree45_20220516_leaf3.png,0,0.055376911,2062.626867,May,3,45,1
images/segmented_processed/2022_May_isolate/tree46_20220517_leaf1.png,111.2290806,9.73E-05,3000.991635,May,1,46,1
images/segmented_processed/2022_May_isolate/tree46_20220517_leaf2.png,0,0.003205174,2517.204453,May,2,46,1
images/segmented_processed/2022_May_isolate/tree46_20220517_leaf3.png,50.04287126,3.95E-05,2043.082119,May,3,46,1
images/segmented_processed/2022_May_isolate/tree47_20220517_leaf1.png,0,4.67E-04,1855.833537,May,1,47,1
images/segmented_processed/2022_May_isolate/tree47_20220517_leaf3.png,0,1.96E-04,2257.981161,May,3,47,1
images/segmented_processed/2022_May_isolate/tree48_20220517_leaf1.png,0,2.46E-04,1870.111275,May,1,48,1
images/segmented_processed/2022_May_isolate/tree48_20220517_leaf3.png,0,2.35E-04,1525.101484,May,3,48,1
images/segmented_processed/2022_May_isolate/tree49_20220517_leaf1.png,0,0.004408981,1713.669058,May,1,49,1
images/segmented_processed/2022_May_isolate/tree49_20220517_leaf2.png,0,4.09E-04,1982.707735,May,2,49,1
images/segmented_processed/2022_May_isolate/tree49_20220517_leaf3.png,0,2.36E-04,1290.331529,May,3,49,1
images/segmented_processed/2022_May_isolate/tree5_20220517_leaf1.png,0,0.00241568,3190.763507,May,1,5,1
images/segmented_processed/2022_May_isolate/tree5_20220517_leaf2.png,0,0.013643891,1865.679387,May,2,5,1
images/segmented_processed/2022_May_isolate/tree5_20220517_leaf3.png,0,0.021229262,2896.767911,May,3,5,1
images/segmented_processed/2022_May_isolate/tree51_20220517_leaf1.png,7.562702934,0.00130344,3093.541556,May,1,51,1
images/segmented_processed/2022_May_isolate/tree51_20220517_leaf2.png,21.79205395,1.14E-04,3534.999107,May,2,51,1
images/segmented_processed/2022_May_isolate/tree51_20220517_leaf3.png,38.41924775,0.001289609,2490.260084,May,3,51,1
images/segmented_processed/2022_May_isolate/tree52_20220517_leaf2.png,0,0.001960685,2090.368725,May,2,52,1
images/segmented_processed/2022_May_isolate/tree52_20220517_leaf3.png,0,0.003397184,1706.025711,May,3,52,1
images/segmented_processed/2022_May_isolate/tree53_20220517_leaf1.png,19.37449797,1.90E-04,1511.076433,May,1,53,1
images/segmented_processed/2022_May_isolate/tree53_20220517_leaf2.png,9.672016051,3.56E-05,1859.985855,May,2,53,1
images/segmented_processed/2022_May_isolate/tree53_20220517_leaf3.png,4.172031382,0.002784119,3398.684075,May,3,53,1
images/segmented_processed/2022_May_isolate/tree54_20220516_leaf1.png,57.07690184,1.08E-04,2495.706305,May,1,54,1
images/segmented_processed/2022_May_isolate/tree54_20220516_leaf2.png,0,3.20E-05,3364.728972,May,2,54,1
images/segmented_processed/2022_May_isolate/tree55_20220517_leaf1.png,16.85837595,0.003142732,2917.914806,May,1,55,1
images/segmented_processed/2022_May_isolate/tree55_20220517_leaf3.png,3.578843071,0.004425303,2224.088783,May,3,55,1
images/segmented_processed/2022_May_isolate/tree56_20220517_leaf1.png,3.802856783,0.004251564,2055.320436,May,1,56,1
images/segmented_processed/2022_May_isolate/tree56_20220517_leaf2.png,0,4.59E-04,2348.832163,May,2,56,1
images/segmented_processed/2022_May_isolate/tree56_20220517_leaf3.png,8.109296393,3.49E-04,2473.681277,May,3,56,1
images/segmented_processed/2022_May_isolate/tree57_20220517_leaf1.png,3.569882522,0.003820909,2277.126269,May,1,57,1
images/segmented_processed/2022_May_isolate/tree57_20220517_leaf2.png,0,0.003762096,3256.869058,May,2,57,1
images/segmented_processed/2022_May_isolate/tree58_20220517_leaf1.png,0,1.76E-04,1730.219192,May,1,58,1
images/segmented_processed/2022_May_isolate/tree58_20220517_leaf2.png,21.98201758,0.003590258,2813.759182,May,2,58,1
images/segmented_processed/2022_May_isolate/tree58_20220517_leaf3.png,38.91924635,2.50E-04,2786.459975,May,3,58,1
images/segmented_processed/2022_May_isolate/tree59_20220517_leaf2.png,5.308228931,0.003544627,2728.135765,May,2,59,1
images/segmented_processed/2022_May_isolate/tree59_20220517_leaf3.png,0,0.00409119,2125.375796,May,3,59,1
images/segmented_processed/2022_May_isolate/tree6_20220517_leaf1.png,4.560919187,1.40E-04,2342.536481,May,1,6,1
images/segmented_processed/2022_May_isolate/tree6_20220517_leaf2.png,10.72936077,0.020171438,1760.353516,May,2,6,1
images/segmented_processed/2022_May_isolate/tree6_20220517_leaf3.png,20.22575007,3.60E-04,2061.813249,May,3,6,1
images/segmented_processed/2022_May_isolate/tree60_20220516_leaf1.png,0,8.40E-06,2346.687007,May,1,60,1
images/segmented_processed/2022_May_isolate/tree60_20220516_leaf2.png,0,3.08E-04,1954.295628,May,2,60,1
images/segmented_processed/2022_May_isolate/tree60_20220516_leaf3.png,0,5.09E-04,1951.58775,May,3,60,1
images/segmented_processed/2022_May_isolate/tree61_20220517_leaf1.png,8.318973227,0.004156217,1965.784843,May,1,61,1
images/segmented_processed/2022_May_isolate/tree61_20220517_leaf3.png,0,3.76E-06,1906.295762,May,3,61,1
images/segmented_processed/2022_May_isolate/tree63_20220517_leaf1.png,0,3.38E-06,1590.404169,May,1,63,1
images/segmented_processed/2022_May_isolate/tree63_20220517_leaf2.png,0,0.003949502,2179.843386,May,2,63,1
images/segmented_processed/2022_May_isolate/tree64_20220517_leaf1.png,9.426497022,1.06E-06,1691.980947,May,1,64,1
images/segmented_processed/2022_May_isolate/tree64_20220517_leaf2.png,67.34927464,3.08E-05,1975.128903,May,2,64,1
images/segmented_processed/2022_May_isolate/tree64_20220517_leaf3.png,22.83864602,0.003477811,2508.471502,May,3,64,1
images/segmented_processed/2022_May_isolate/tree65_20220517_leaf1.png,3.858412184,0.003774611,2326.89674,May,1,65,1
images/segmented_processed/2022_May_isolate/tree65_20220517_leaf3.png,0,0.003898159,2253.147841,May,3,65,1
images/segmented_processed/2022_May_isolate/tree66_20220517_leaf1.png,0,0.003365525,2477.145425,May,1,66,1
images/segmented_processed/2022_May_isolate/tree66_20220517_leaf3.png,0,0.003856066,1925.462375,May,3,66,1
images/segmented_processed/2022_May_isolate/tree7_20220517_leaf1.png,0,1.56E-06,1147.158093,May,1,7,1
